Parameters:
 Namespace(case_num=2, config_num=176, interp_scale=2, interp_method='TORCH', fixed_dnn='RCAN', model='RCAN', n_resblocks=20, n_feats=64, res_scale=1, shift_mean=True, n_resgroups=10, reduction=16, rgb_range=255, n_colors=3, print_model=False, save_models=False, chop=False, self_ensemble=False, pre_train='../Learned_RCAN_Models/RCAN_BIX2.pt', alpha=1.0, epsilon=0.1, rho=1.0, tol=1e-05, maxiter_forward=200, miniter_forward=5, maxiter_backward=80, miniter_backward=5, beta=0.9, jac_regul=False, jac_loss_weight=1.0, jac_loss_freq=0.35, jac_incremental=3500, spectral_radius_mode=False, dncnn_frozen=False, dncnn_num_layers=6, dncnn_lip=0.9, dncnn_bias=False, dncnn_bn=False, dncnn_skip=False, dncnn_weight_file='../Learned_DNCNN_Models/T91/RealSN_DnCNN/Layers_6/BN_False/sigma_0.01250_0.02500/best.pth', dncnn_lr=0.0001, sigmaL=0.0625, sigmaH=0.125, optimizer='adam', lr=0.0001, alpha_lr=0.001, decrease_lr=True, lr_step=60, lr_gamma=0.1, clip_grad=False, clip_norm=0.01, batch_size=512, num_epochs=80, num_workers=4, datasets_dir='../Data/', train_data='T91', eval_data='Set5', last_checkpoint='', best_weight_file='', output_dir='../Learned_DEQSR_Models', seed=123, use_gpu=True, verbose=True, verbose2=True)
Epoch No	LR            	Loss          	Val_Loss      	DF            	PSNR      	SSIM      	Beta      
       0	1.00000000e-03	4.01485304e-03	1.78805182e-04	1.00370435e-01	38.24352251	0.96605514	1.00626504
Best Epoch:0 with PSNR: 38.2435
       1	1.00000000e-03	4.01635383e-03	1.78683264e-04	1.00166498e-01	38.25331512	0.96619603	0.98524219
Best Epoch:1 with PSNR: 38.2533
       2	1.00000000e-03	4.01094688e-03	1.78711671e-04	1.00065430e-01	38.25436449	0.96623514	0.97010285
Best Epoch:2 with PSNR: 38.2544
       3	1.00000000e-03	4.01002195e-03	1.78761876e-04	1.00045091e-01	38.25420129	0.96623946	0.95874703
       4	1.00000000e-03	4.01108665e-03	1.78788610e-04	1.00020754e-01	38.25402713	0.96624029	0.95007372
       5	1.00000000e-03	4.01045806e-03	1.78791201e-04	9.99957904e-02	38.25331627	0.96623130	0.94350106
       6	1.00000000e-03	4.01147120e-03	1.78821109e-04	9.99784559e-02	38.25268514	0.96622888	0.93572915
       7	1.00000000e-03	4.01097477e-03	1.78845165e-04	9.99576807e-02	38.25195004	0.96622161	0.92655861
       8	1.00000000e-03	4.01011702e-03	1.78893391e-04	9.99325752e-02	38.25098092	0.96621229	0.91683185
       9	1.00000000e-03	4.00784836e-03	1.78913189e-04	9.98789713e-02	38.25020698	0.96621272	0.90477139
      10	1.00000000e-03	4.01461170e-03	1.78986714e-04	9.98395607e-02	38.24850862	0.96620085	0.89105892
      11	1.00000000e-03	4.01290630e-03	1.79038301e-04	9.97844219e-02	38.24720129	0.96619767	0.87608957
      12	1.00000000e-03	4.01121672e-03	1.79088609e-04	9.97235626e-02	38.24561814	0.96619360	0.85999084
      13	1.00000000e-03	4.01610806e-03	1.79153662e-04	9.96482193e-02	38.24347081	0.96617881	0.84418398
      14	1.00000000e-03	4.01106361e-03	1.79237030e-04	9.95760247e-02	38.24140309	0.96616712	0.82493269
      15	1.00000000e-03	4.00976378e-03	1.79353523e-04	9.95374009e-02	38.23855519	0.96616004	0.80671716
      16	1.00000000e-03	4.01276937e-03	1.79465020e-04	9.94876176e-02	38.23502766	0.96614374	0.78762048
      17	1.00000000e-03	4.01150571e-03	1.79668475e-04	9.94094372e-02	38.22825212	0.96612525	0.77223140
      18	1.00000000e-03	4.00652543e-03	1.79768614e-04	9.93822172e-02	38.22437558	0.96609350	0.75432926
      19	1.00000000e-03	4.01211833e-03	1.80095935e-04	9.93154675e-02	38.21320468	0.96607491	0.73650318
      20	1.00000000e-03	4.01370590e-03	1.80477707e-04	9.93038177e-02	38.19975346	0.96604185	0.71818095
      21	1.00000000e-03	4.01067664e-03	1.81068655e-04	9.89638224e-02	38.17775430	0.96599582	0.70003849
      22	1.00000000e-03	4.00851271e-03	1.81334855e-04	9.79833812e-02	38.16687818	0.96599668	0.68213725
      23	1.00000000e-03	4.01227525e-03	1.82056146e-04	9.93769556e-02	38.14036561	0.96600579	0.66625744
      24	1.00000000e-03	4.00927724e-03	1.82319562e-04	9.93927389e-02	38.13235922	0.96602487	0.64717370
      25	1.00000000e-03	4.00771416e-03	1.82408723e-04	9.94296208e-02	38.12860511	0.96602793	0.62887967
      26	1.00000000e-03	4.00525121e-03	1.82621703e-04	9.95644107e-02	38.12047597	0.96604420	0.61201882
