Parameters:
 Namespace(case_num=8, config_num=208, interp_scale=2, interp_method='TORCH', fixed_dnn='RCAN', model='RCAN', n_resblocks=20, n_feats=64, res_scale=1, shift_mean=True, n_resgroups=10, reduction=16, rgb_range=255, n_colors=3, print_model=False, save_models=False, chop=False, self_ensemble=False, pre_train='../Learned_RCAN_Models/RCAN_BIX2.pt', alpha=5.0, epsilon=0.01, rho=0.1, tol=1e-05, maxiter_forward=200, miniter_forward=5, maxiter_backward=100, miniter_backward=5, beta=2.5, hierarchical=True, jac_regul=False, jac_loss_weight=1.0, jac_loss_freq=0.35, jac_incremental=3500, spectral_radius_mode=False, dncnn_num_layers=6, dncnn_lip=1.0, dncnn_bias=False, dncnn_bn=False, dncnn_act='CELU', dncnn_skip=False, dncnn_weight_file='../Learned_DNCNN_Models/T91/RealSN_DnCNN', dncnn_lr=0.001, sigmaL=0.0125, sigmaH=0.025, optimizer='adam', lr=0.001, alpha_lr=0.05, decrease_lr=True, lr_step=60, lr_gamma=0.1, clip_grad=False, clip_norm=0.01, batch_size=512, num_epochs=80, num_workers=4, datasets_dir='../Data/', train_data='T91', eval_data='Set5', last_checkpoint='', best_weight_file='', output_dir='../Learned_DEQSR_Models', seed=123, use_gpu=True, verbose=True, verbose2=True)
Epoch No	LR            	Loss          	Val_Loss      	DF            	PSNR      	SSIM      	Beta      
       0	5.00000000e-02	4.61444615e-03	1.80355497e-04	5.03531039e-05	38.19290993	0.96621610	5.39203644
Best Epoch:0 with PSNR: 38.1929
       1	5.00000000e-02	4.61498003e-03	1.80078343e-04	5.01242997e-05	38.20145986	0.96623712	6.05027676
Best Epoch:1 with PSNR: 38.2015
       2	5.00000000e-02	4.61153207e-03	1.80318093e-04	5.00716065e-05	38.20019373	0.96623459	6.14425325
       3	5.00000000e-02	4.61080477e-03	1.80022602e-04	4.99908085e-05	38.20278026	0.96624117	6.24526215
Best Epoch:3 with PSNR: 38.2028
       4	5.00000000e-02	4.61351385e-03	1.79989532e-04	5.00027440e-05	38.20264826	0.96623836	6.24315023
       5	5.00000000e-02	4.61242566e-03	1.80224013e-04	4.98443878e-05	38.20235038	0.96623818	6.32727337
       6	5.00000000e-02	4.61392333e-03	1.80018105e-04	4.98874004e-05	38.20277316	0.96623884	6.30909395
       7	5.00000000e-02	4.60835515e-03	1.80041289e-04	4.98767469e-05	38.20291932	0.96623970	6.19628811
Best Epoch:7 with PSNR: 38.2029
       8	5.00000000e-02	4.60794863e-03	1.79977096e-04	4.99247079e-05	38.20265565	0.96623809	6.14991760
       9	5.00000000e-02	4.61067996e-03	1.79984624e-04	4.97559347e-05	38.20341558	0.96623973	6.23582554
Best Epoch:9 with PSNR: 38.2034
      10	5.00000000e-02	4.61877211e-03	1.80147159e-04	4.98525500e-05	38.20291726	0.96623745	6.28390598
      11	5.00000000e-02	4.60891690e-03	1.80008885e-04	4.98243753e-05	38.20292300	0.96624009	6.17785311
      12	5.00000000e-02	4.61065125e-03	1.79977478e-04	4.98651694e-05	38.20223230	0.96623576	6.19015551
      13	5.00000000e-02	4.60534413e-03	1.80023134e-04	4.99083617e-05	38.20117559	0.96623319	6.12883377
      14	5.00000000e-02	4.61151491e-03	1.80094053e-04	4.99429349e-05	38.20114396	0.96623471	6.01428938
      15	5.00000000e-02	4.60967917e-03	1.80159912e-04	4.98449983e-05	38.20153690	0.96623422	5.95190907
      16	5.00000000e-02	4.61207143e-03	1.80049500e-04	4.99585964e-05	38.20268750	0.96623508	5.99027872
      17	5.00000000e-02	4.60981627e-03	1.80074422e-04	4.98138746e-05	38.20162386	0.96623673	6.07566833
      18	5.00000000e-02	4.61000429e-03	1.80050229e-04	4.98383226e-05	38.20128594	0.96623390	5.99757004
      19	5.00000000e-02	4.61254593e-03	1.80160382e-04	4.97648463e-05	38.20283714	0.96623819	6.01476288
      20	5.00000000e-02	4.60745081e-03	1.79966525e-04	4.97804351e-05	38.20319569	0.96623923	6.02025509
