Parameters:
 Namespace(case_num=2, config_num=177, interp_scale=3, interp_method='TORCH', fixed_dnn='RCAN', model='RCAN', n_resblocks=20, n_feats=64, res_scale=1, shift_mean=True, n_resgroups=10, reduction=16, rgb_range=255, n_colors=3, print_model=False, save_models=False, chop=False, self_ensemble=False, pre_train='../Learned_RCAN_Models/RCAN_BIX3.pt', alpha=1.0, epsilon=0.1, rho=1.0, tol=1e-05, maxiter_forward=200, miniter_forward=5, maxiter_backward=80, miniter_backward=5, beta=0.9, jac_regul=False, jac_loss_weight=1.0, jac_loss_freq=0.35, jac_incremental=3500, spectral_radius_mode=False, dncnn_frozen=False, dncnn_num_layers=6, dncnn_lip=0.9, dncnn_bias=False, dncnn_bn=False, dncnn_skip=False, dncnn_weight_file='../Learned_DNCNN_Models/T91/RealSN_DnCNN/Layers_6/BN_False/sigma_0.01250_0.02500/best.pth', dncnn_lr=0.0001, sigmaL=0.0625, sigmaH=0.125, optimizer='adam', lr=0.0001, alpha_lr=0.001, decrease_lr=True, lr_step=60, lr_gamma=0.1, clip_grad=False, clip_norm=0.01, batch_size=512, num_epochs=80, num_workers=4, datasets_dir='../Data/', train_data='T91', eval_data='Set5', last_checkpoint='', best_weight_file='../Learned_DEQSR_Models/T91/RCAN/x2/Case_2/Config_176/best.pth', output_dir='../Learned_DEQSR_Models', seed=123, use_gpu=True, verbose=True, verbose2=True)
Epoch No	LR            	Loss          	Val_Loss      	DF            	PSNR      	SSIM      	Beta      
       0	1.00000000e-03	4.41793561e-03	3.32053870e-04	1.00003053e-01	35.49158956	0.95011007	0.94711131
Best Epoch:0 with PSNR: 35.4916
       1	1.00000000e-03	4.41430217e-03	3.32019443e-04	9.99837428e-02	35.49160538	0.95010972	0.93804550
Best Epoch:1 with PSNR: 35.4916
       2	1.00000000e-03	4.41385910e-03	3.31794424e-04	9.99456659e-02	35.49327003	0.95013580	0.93010080
Best Epoch:2 with PSNR: 35.4933
       3	1.00000000e-03	4.41416355e-03	3.31771461e-04	9.99209806e-02	35.49382283	0.95013073	0.91700196
Best Epoch:3 with PSNR: 35.4938
       4	1.00000000e-03	4.41372611e-03	3.31681382e-04	9.98592526e-02	35.49379994	0.95011919	0.90658343
       5	1.00000000e-03	4.41342751e-03	3.31820798e-04	9.98295054e-02	35.49309590	0.95010423	0.89193237
       6	1.00000000e-03	4.41274342e-03	3.31744467e-04	9.97568727e-02	35.49322412	0.95010014	0.87698692
       7	1.00000000e-03	4.41314272e-03	3.31891881e-04	9.96947005e-02	35.49150230	0.95007125	0.86146939
       8	1.00000000e-03	4.41063945e-03	3.32087564e-04	9.96568352e-02	35.49017063	0.95005910	0.84649408
       9	1.00000000e-03	4.41299220e-03	3.32333994e-04	9.94979292e-02	35.48377917	0.95001679	0.83529252
      10	1.00000000e-03	4.41135851e-03	3.32467337e-04	9.95066836e-02	35.48457691	0.94998727	0.82056099
      11	1.00000000e-03	4.41063953e-03	3.33101506e-04	9.95211810e-02	35.47686272	0.94987879	0.80712354
      12	1.00000000e-03	4.41090281e-03	3.33119687e-04	9.96337116e-02	35.47604852	0.94989038	0.79447359
      13	1.00000000e-03	4.41185170e-03	3.33452420e-04	9.71213058e-02	35.47086760	0.94989111	0.78244460
      14	1.00000000e-03	4.41079556e-03	3.34502460e-04	9.54357862e-02	35.45381508	0.94980936	0.76938778
      15	1.00000000e-03	4.41173352e-03	3.35420851e-04	9.71350864e-02	35.43384483	0.94984297	0.75885773
      16	1.00000000e-03	4.41238470e-03	3.35646578e-04	9.72588703e-02	35.43265985	0.94979441	0.74762863
      17	1.00000000e-03	4.41146550e-03	3.36454943e-04	9.95440125e-02	35.41603506	0.94982557	0.73752820
      18	1.00000000e-03	4.40939951e-03	3.36573960e-04	9.95530218e-02	35.41539320	0.94982676	0.72580755
      19	1.00000000e-03	4.41096498e-03	3.36727340e-04	9.97031882e-02	35.41038517	0.94991640	0.71577907
      20	1.00000000e-03	4.41108530e-03	3.36608186e-04	9.95843738e-02	35.41562244	0.94983251	0.70540953
      21	1.00000000e-03	4.40932023e-03	3.36738545e-04	9.96135339e-02	35.41429904	0.94984818	0.69539970
      22	1.00000000e-03	4.41010955e-03	3.36743382e-04	9.96562958e-02	35.41222393	0.94989810	0.68585336
      23	1.00000000e-03	4.41117342e-03	3.37058344e-04	9.97512951e-02	35.40687901	0.94990291	0.67643034
      24	1.00000000e-03	4.41179787e-03	3.37089386e-04	9.97729436e-02	35.40470585	0.94991460	0.66794628
      25	1.00000000e-03	4.40882747e-03	3.37219678e-04	9.97418210e-02	35.40626500	0.94987514	0.65495259
      26	1.00000000e-03	4.41106549e-03	3.37246270e-04	9.98036340e-02	35.40250921	0.94991408	0.64723486
      27	1.00000000e-03	4.41270469e-03	3.37457273e-04	9.97722715e-02	35.40318152	0.94985411	0.63813043
      28	1.00000000e-03	4.41092113e-03	3.37254535e-04	9.98567507e-02	35.40233382	0.94994010	0.62969333
      29	1.00000000e-03	4.40912138e-03	3.37349708e-04	9.98221144e-02	35.40335453	0.94992478	0.62048441
      30	1.00000000e-03	4.41111794e-03	3.37351413e-04	9.98655096e-02	35.40243473	0.94995048	0.61300081
      31	1.00000000e-03	4.41190327e-03	3.37476080e-04	9.98828173e-02	35.40021287	0.94990528	0.60516113
      32	1.00000000e-03	4.41164124e-03	3.37473603e-04	9.98933733e-02	35.40045996	0.94991812	0.59628248
      33	1.00000000e-03	4.41117935e-03	3.37465521e-04	9.99046072e-02	35.40048587	0.94990028	0.58849251
      34	1.00000000e-03	4.40694193e-03	3.37496420e-04	9.99192387e-02	35.40041522	0.94991801	0.58089155
      35	1.00000000e-03	4.41090104e-03	3.37668299e-04	9.99347448e-02	35.39718943	0.94990298	0.57233614
      36	1.00000000e-03	4.40930045e-03	3.37501106e-04	9.99469727e-02	35.39964447	0.94993522	0.56480026
      37	1.00000000e-03	4.41037518e-03	3.37929686e-04	9.99393806e-02	35.39598864	0.94987660	0.55648172
      38	1.00000000e-03	4.40991077e-03	3.37743605e-04	9.99558359e-02	35.39742279	0.94992316	0.54858977
      39	1.00000000e-03	4.40934866e-03	3.37794586e-04	9.99668479e-02	35.39716002	0.94993260	0.54129511
      40	1.00000000e-03	4.41096913e-03	3.37834124e-04	9.99679402e-02	35.39783198	0.94993259	0.53231978
      41	1.00000000e-03	4.41082342e-03	3.37882875e-04	9.99669597e-02	35.39523595	0.94991751	0.52611095
      42	1.00000000e-03	4.40991617e-03	3.37852913e-04	9.99706954e-02	35.39503362	0.94993680	0.51854604
      43	1.00000000e-03	4.41024888e-03	3.37788623e-04	9.99618053e-02	35.39458587	0.94991575	0.51224256
      44	1.00000000e-03	4.40955030e-03	3.37811466e-04	9.99797642e-02	35.39619739	0.94994128	0.50516325
      45	1.00000000e-03	4.41052736e-03	3.37949238e-04	9.99696508e-02	35.39398439	0.94991451	0.49723831
      46	1.00000000e-03	4.41082654e-03	3.37914049e-04	9.99760404e-02	35.39480223	0.94991625	0.49012399
      47	1.00000000e-03	4.41059342e-03	3.38015580e-04	9.99873430e-02	35.39578902	0.94989407	0.48503470
