Epoch No	LR            	Loss          	CNN PSNR  	CNN SSIM  
       0	1.00000000e-04	5.91706446e-03	34.12599560	0.96795057
       1	1.00000000e-04	8.40199184e-04	34.46271544	0.96956561
       2	1.00000000e-04	7.87759695e-04	34.61017000	0.97039379
       3	1.00000000e-04	7.67422070e-04	34.71083053	0.97080637
       4	1.00000000e-04	7.56488607e-04	34.76323934	0.97121996
       5	1.00000000e-04	7.45899182e-04	34.83813654	0.97144494
       6	1.00000000e-04	7.38859476e-04	34.74191141	0.97172410
       7	1.00000000e-04	7.31989835e-04	34.72481744	0.97185286
       8	1.00000000e-04	7.28931647e-04	34.82016865	0.97214137
       9	1.00000000e-04	7.19379448e-04	34.99309867	0.97224103
      10	1.00000000e-04	7.14925703e-04	35.01973116	0.97248406
      11	1.00000000e-04	7.09620421e-04	35.07632636	0.97269328
      12	1.00000000e-04	7.05812817e-04	35.14581301	0.97298928
      13	1.00000000e-04	7.00230681e-04	35.16967551	0.97309989
      14	1.00000000e-04	6.95387526e-04	35.16627717	0.97320412
      15	1.00000000e-04	6.92622368e-04	35.25514721	0.97340459
      16	1.00000000e-04	6.88394216e-04	35.27216970	0.97349166
      17	1.00000000e-04	6.84580736e-04	35.27810398	0.97368658
      18	1.00000000e-04	6.81635221e-04	35.32542283	0.97371434
      19	1.00000000e-04	6.78546410e-04	35.31036754	0.97350260
      20	1.00000000e-04	6.76029179e-04	35.37203214	0.97392871
      21	1.00000000e-04	6.73369383e-04	35.36733045	0.97395915
      22	1.00000000e-04	6.71049091e-04	35.41691144	0.97412146
      23	1.00000000e-04	6.67882564e-04	35.42712393	0.97413227
      24	1.00000000e-04	6.67034719e-04	35.30377574	0.97417568
      25	1.00000000e-04	6.64111592e-04	35.48013144	0.97438306
      26	1.00000000e-04	6.62545732e-04	35.37626538	0.97439115
      27	1.00000000e-04	6.61108034e-04	35.49462664	0.97442352
      28	1.00000000e-04	6.58644499e-04	35.49562425	0.97454398
      29	1.00000000e-04	6.57177592e-04	35.49756193	0.97448875
      30	1.00000000e-04	6.55600534e-04	35.53005685	0.97460576
      31	1.00000000e-04	6.53952425e-04	35.53880529	0.97466091
      32	1.00000000e-04	6.53062142e-04	35.55039166	0.97460968
      33	1.00000000e-04	6.51190912e-04	35.51316087	0.97444776
      34	1.00000000e-04	6.50102604e-04	35.48800081	0.97458785
      35	1.00000000e-04	6.48078890e-04	35.56127299	0.97472270
      36	1.00000000e-04	6.47771261e-04	35.53220451	0.97482547
      37	1.00000000e-04	6.47047879e-04	35.58671363	0.97480487
      38	1.00000000e-04	6.45638735e-04	35.59196846	0.97493480
      39	1.00000000e-04	6.43725690e-04	35.60678298	0.97496617
